Sc_code,Sc_name,Sc_group,Sc_type,Open,High,Low,Close,Last Trd Price,Prev close,Previous close Date,no_trades,No of Shares,Turnover,Wt. Avg. Price,2W Avg. Qty,perc_del_qty,date,Total No of Shrs,Free Float No of Shrs,52 W High,52 W Low,FACE_VALUE,Exdate,Purpose,Industry,
532842,SRHHYPOLTD,B ,Q,628.95,640.10,628.95,637.15,637.15,624.05,6/24/2025 00:00:00,206,1445,919752.00,636.51,4634,63.18,6/25/2025 00:00:00,17164821,5384346.875385,943.95,463.75,10.00,,,Chemicals,
532843,FORTIS,A ,Q,767.10,782.00,765.00,779.65,779.65,765.45,6/24/2025 00:00:00,3095,49716,38602575.00,776.46,24904,51.06,6/25/2025 00:00:00,754958148,519663361.845432,786.30,452.75,10.00,,,Healthcare,
532845,TGBHOTELS,B ,Q,12.61,12.62,12.30,12.40,12.40,12.44,6/24/2025 00:00:00,36,2639,32890.00,12.46,19320,64.27,6/25/2025 00:00:00,29286400,20133169.971200,18.49,8.35,10.00,,,Consumer Services,
532847,HILTON,T ,Q,65.60,69.75,65.60,67.51,67.51,68.96,6/24/2025 00:00:00,537,93135,6278214.00,67.41,154471,100.00,6/25/2025 00:00:00,23400000,15132101.400000,123.00,51.50,10.00,,,Capital Goods,
532848,DELTACORP,A ,Q,89.96,90.53,88.05,90.01,90.01,88.81,6/24/2025 00:00:00,1135,92322,8266155.00,89.54,73086,54.74,6/25/2025 00:00:00,267771097,175565726.374632,149.35,76.73,1.00,,,Consumer Services,
532850,MICEL,B ,Q,54.02,55.16,53.79,53.99,53.99,54.01,6/24/2025 00:00:00,1761,275727,14982361.00,54.34,341934,55.26,6/25/2025 00:00:00,241011560,80787556.935120,114.74,49.50,2.00,,,Capital Goods,
532851,INSECTICID,B ,Q,952.00,986.50,946.10,982.45,982.45,941.70,6/24/2025 00:00:00,684,5735,5557362.00,969.03,6656,42.48,6/25/2025 00:00:00,29097837,8058296.783106,1084.65,531.60,10.00,,,Chemicals,
532853,ASAHISONG,T ,Q,440.95,442.00,420.00,442.00,442.00,421.30,6/24/2025 00:00:00,9,267,116967.00,438.08,575,100.00,6/25/2025 00:00:00,11787262,3901536.572952,588.85,257.00,10.00,,,Chemicals,
532855,HARYNACAP,X ,Q,199.90,213.45,194.50,208.95,208.95,199.70,6/24/2025 00:00:00,55,2814,577108.00,205.08,1958,84.90,6/25/2025 00:00:00,5208681,1521940.127433,447.90,144.50,10.00,,,Financial Services,
532856,TIMETECHNO,A ,Q,453.55,460.00,450.80,453.60,453.60,453.50,6/24/2025 00:00:00,2712,102949,46827100.00,454.86,97160,47.64,6/25/2025 00:00:00,226929066,109679583.108186,513.35,301.80,1.00,,,Capital Goods,
532859,HGS,B ,Q,535.05,543.00,528.10,542.15,542.15,530.30,6/24/2025 00:00:00,214,1681,907919.00,540.11,2933,68.53,6/25/2025 00:00:00,46520285,14826619.593205,954.00,436.05,10.00,,,Services,
532864,NELCAST,B ,Q,138.10,141.20,138.00,138.25,138.25,136.55,6/24/2025 00:00:00,131,2297,320616.00,139.58,28581,27.64,6/25/2025 00:00:00,87001200,21802152.715200,161.60,78.00,2.00,,,Capital Goods,
532867,V2RETAIL,B ,Q,1896.85,1914.00,1838.15,1851.05,1851.05,1874.20,6/24/2025 00:00:00,466,4862,9170713.00,1886.20,3295,63.64,6/25/2025 00:00:00,34589341,15447945.584010,2095.00,691.70,10.00,,,Consumer Services,
532868,DLF,A ,Q,850.35,855.75,845.45,854.40,854.40,849.45,6/24/2025 00:00:00,1472,45611,38810251.00,850.90,96084,25.79,6/25/2025 00:00:00,2475311706,639808668.520056,928.70,601.20,2.00,,,Realty,
532869,TARMAT,B ,Q,54.93,55.00,53.76,53.76,53.76,54.29,6/24/2025 00:00:00,39,1139,61535.00,54.03,5337,94.29,6/25/2025 00:00:00,24064255,14283073.848445,104.11,45.03,10.00,,,Construction,
532870,ANKITMETAL,Z ,Q,2.08,2.08,2.00,2.03,2.03,2.08,6/24/2025 00:00:00,34,10431,21121.00,2.02,22418,100.00,6/25/2025 00:00:00,141110500,40895516.226000,5.35,1.89,10.00,,,Metals & Mining,
532872,SPARC,A ,Q,157.80,160.50,157.15,159.00,159.00,157.20,6/24/2025 00:00:00,912,56570,9010683.00,159.28,92809,45.34,6/25/2025 00:00:00,324521588,93296711.334120,257.70,109.20,1.00,,,Healthcare,
