Scrip Code,COMPANY,ISIN No.,Close Price,IndexName
532525,BANK OF MAHARASHTRA,INE457A01014,54.37,BSE 150 MidCap Indexindex
509480,BERGER PAINTS INDIA LTD.,INE463A01038,584.5,BSE 150 MidCap Indexindex
541143,Bharat Dynamics Limited,INE171Z01026,1891.45,BSE 150 MidCap Indexindex
500493,BHARAT FORGE LTD.,INE465A01025,1309.2,BSE 150 MidCap Indexindex
500103,BHARAT HEAVY ELECTRICALS LTD.,INE257A01026,264.05,BSE 150 MidCap Indexindex
544162,Bharti Hexacom Limited,INE343G01021,1971.8,BSE 150 MidCap Indexindex
532523,BIOCON LTD.,INE376G01013,354.1,BSE 150 MidCap Indexindex
500067,BLUE STAR LTD.,INE472A01039,1628.1,BSE 150 MidCap Indexindex
532885,CENTRAL BANK OF INDIA,INE483A01010,39.2,BSE 150 MidCap Indexindex
500093,CG Power and Industrial Soluti,INE067A01029,672.8,BSE 150 MidCap Indexindex
540678,Cochin Shipyard Limited,INE704P01025,2045,BSE 150 MidCap Indexindex
532541,COFORGE LIMITED,INE591G01025,1900.6,BSE 150 MidCap Indexindex
500830,COLGATE-PALMOLIVE (INDIA) LTD.,INE259A01022,2381.25,BSE 150 MidCap Indexindex
531344,CONTAINER CORPORATION OF INDIA,INE111A01025,756.2,BSE 150 MidCap Indexindex
506395,COROMANDEL INTERNATIONAL LTD.,INE169A01031,2450.65,BSE 150 MidCap Indexindex
500092,CRISIL LTD.,INE007A01025,5991.75,BSE 150 MidCap Indexindex
500480,CUMMINS INDIA LTD.,INE298A01020,3341.45,BSE 150 MidCap Indexindex
542216,DALMIA BHARAT LIMITED,INE00R701025,2207.3,BSE 150 MidCap Indexindex
506401,DEEPAK NITRITE LTD.,INE288B01029,1984.3,BSE 150 MidCap Indexindex
540699,Dixon Technologies (India) Lim,INE935N01020,14478.85,BSE 150 MidCap Indexindex
531162,EMAMI LTD.,INE548C01032,567.15,BSE 150 MidCap Indexindex
540153,Endurance Technologies Limited,INE913H01037,2631.7,BSE 150 MidCap Indexindex
500495,Escorts Kubota Limited,INE042A01014,3342.45,BSE 150 MidCap Indexindex
500086,EXIDE INDUSTRIES LTD.,INE302A01020,388.45,BSE 150 MidCap Indexindex
500469,FEDERAL BANK LTD.,INE171A01029,208.45,BSE 150 MidCap Indexindex
532843,FORTIS HEALTHCARE LTD.,INE061F01013,783.95,BSE 150 MidCap Indexindex
543384,FSN E-Commerce Ventures Limite,INE388Y01029,209.85,BSE 150 MidCap Indexindex
540755,General Insurance Corporation,INE481Y01014,386.85,BSE 150 MidCap Indexindex
543245,Gland Pharma Limited,INE068V01023,1783.65,BSE 150 MidCap Indexindex
500660,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,3457.7,BSE 150 MidCap Indexindex
532296,GLENMARK PHARMACEUTICALS LTD.,INE935A01035,1712.8,BSE 150 MidCap Indexindex
543654,Global Health Limited,INE474Q01031,1136.45,BSE 150 MidCap Indexindex
532754,GMR Airports Limited,INE776C01039,84.72,BSE 150 MidCap Indexindex
500164,GODREJ INDUSTRIES LTD.,INE233A01035,1248.4,BSE 150 MidCap Indexindex
533150,GODREJ PROPERTIES LTD,INE484J01027,2363.45,BSE 150 MidCap Indexindex
542812,Gujarat Fluorochemicals Limite,INE09N301011,3548.95,BSE 150 MidCap Indexindex
539336,Gujarat Gas Limited,INE844O01030,471,BSE 150 MidCap Indexindex
541729,HDFC Asset Management Company,INE127D01025,5146.85,BSE 150 MidCap Indexindex
500182,HERO MOTOCORP LTD.,INE158A01026,4320.85,BSE 150 MidCap Indexindex
500104,HINDUSTAN PETROLEUM CORPORATIO,INE094A01015,439.1,BSE 150 MidCap Indexindex
543187,HITACHI ENERGY INDIA LIMITED,INE07Y701011,19940.4,BSE 150 MidCap Indexindex
517174,HONEYWELL AUTOMATION INDIA LTD,INE671A01010,39646.4,BSE 150 MidCap Indexindex
540530,Housing &Urban Development Cor,INE031A01017,236,BSE 150 MidCap Indexindex
539437,IDFC FIRST BANK LIMITED,INE092T01019,72.36,BSE 150 MidCap Indexindex
532814,INDIAN BANK,INE562A01011,626.6,BSE 150 MidCap Indexindex
542830,Indian Railway Catering and To,INE335Y01020,785.35,BSE 150 MidCap Indexindex
544026,Indian Renewable Energy Develo,INE202E01016,169.5,BSE 150 MidCap Indexindex
532514,INDRAPRASTHA GAS LTD.,INE203G01027,213.85,BSE 150 MidCap Indexindex
534816,INDUS TOWERS LIMITED,INE121J01017,412.4,BSE 150 MidCap Indexindex
532187,INDUSIND BANK LTD.,INE095A01012,857.75,BSE 150 MidCap Indexindex
532777,INFO EDGE (INDIA) LTD.,INE663F01032,1517.05,BSE 150 MidCap Indexindex
524494,IPCA LABORATORIES LTD.,INE571A01038,1333.8,BSE 150 MidCap Indexindex
532947,IRB INFRASTRUCTURE DEVELOPERS,INE821I01022,49.68,BSE 150 MidCap Indexindex
532644,J.K.CEMENT LTD.,INE823G01014,6344.45,BSE 150 MidCap Indexindex
532508,JINDAL STAINLESS LTD.,INE220G01021,690.5,BSE 150 MidCap Indexindex
543994,JSW Infrastructure Limited,INE880J01026,316.65,BSE 150 MidCap Indexindex
533155,JUBILANT FOODWORKS LTD,INE797F01020,709.65,BSE 150 MidCap Indexindex
532889,K.P.R.MILL LIMITED,INE930H01031,1140.75,BSE 150 MidCap Indexindex
543278,Kalyan Jewellers India Limited,INE303R01014,544.6,BSE 150 MidCap Indexindex
